benchmark,loop1_id,loop2_id,loop1_trip_count_known,loop1_trip_count,loop1_num_instructions,loop1_num_loads,loop1_num_stores,loop1_num_forward_contiguous_loads,loop1_num_forward_contiguous_stores,loop1_num_integer_ops,loop1_num_float_ops,loop1_num_branches,loop1_num_calls,loop1_memory_op_ratio,loop1_contiguous_memory_ops,loop2_trip_count_known,loop2_trip_count,loop2_num_instructions,loop2_num_loads,loop2_num_stores,loop2_num_forward_contiguous_loads,loop2_num_forward_contiguous_stores,loop2_num_integer_ops,loop2_num_float_ops,loop2_num_branches,loop2_num_calls,loop2_memory_op_ratio,loop2_contiguous_memory_ops,loops_adjacent,trip_count_equal,trip_count_ratio,shared_memory_objects,loop1_stores_read_by_loop2,loop2_stores_read_by_loop1,combined_memory_ops,fusion_score,label,prediction,prediction_label,profitable_probability
2mm,11,14,1,900.0,67.0,25.0,7.0,0.0,0.0,3.0,1.0,11.0,1.0,0.4776119,0.0,1,800.0,41.0,15.0,3.0,0.0,0.0,5.0,0.0,9.0,2.0,0.4390244,0.0,0,0,1.125,1,1,1,50,1.0,0,0,unprofitable,0.02
jacobi-2d,6,7,1,1300.0,67.0,26.0,2.0,0.0,0.0,6.0,5.0,3.0,0.0,0.4179104,0.0,1,1300.0,41.0,15.0,3.0,0.0,0.0,5.0,0.0,9.0,2.0,0.4390244,0.0,1,1,1.0,1,1,1,46,7.0,1,1,profitable,0.98
gemm,6,10,1,1000.0,81.0,30.0,9.0,0.0,0.0,4.0,2.0,15.0,1.0,0.4814815,0.0,1,1000.0,41.0,15.0,3.0,0.0,0.0,5.0,0.0,9.0,2.0,0.4390244,0.0,0,1,1.0,1,1,1,57,3.0,1,1,profitable,0.9766666666666667
gemm,1,9,1,1100.0,27.0,10.0,2.0,1.0,1.0,4.0,1.0,3.0,0.0,0.4444444,2.0,1,1100.0,37.0,16.0,2.0,0.0,0.0,1.0,1.0,3.0,1.0,0.4864865,0.0,0,1,1.0,1,1,1,30,4.2,1,1,profitable,0.9966666666666667
2mm,9,15,1,1200.0,57.0,23.0,5.0,0.0,0.0,2.0,1.0,7.0,1.0,0.4912281,0.0,1,1200.0,30.0,12.0,1.0,0.0,0.0,4.0,0.0,5.0,2.0,0.4333333,0.0,0,1,1.0,1,1,1,41,3.0,1,1,profitable,0.94
2mm,3,7,1,800.0,28.0,10.0,2.0,0.0,0.0,5.0,1.0,3.0,0.0,0.4285714,0.0,1,1200.0,27.0,10.0,2.0,0.0,0.0,4.0,1.0,3.0,0.0,0.4444444,0.0,0,0,0.6666666666666666,1,1,1,24,0.0,0,0,unprofitable,0.05333333333333334
3mm,1,17,1,1100.0,29.0,10.0,2.0,0.0,0.0,6.0,1.0,3.0,0.0,0.4137931,0.0,1,800.0,41.0,15.0,3.0,0.0,0.0,5.0,0.0,9.0,2.0,0.4390244,0.0,0,0,1.375,1,1,1,30,-1.0,0,0,unprofitable,0.016666666666666666
jacobi-2d,0,4,1,500.0,54.0,18.0,5.0,0.0,0.0,4.0,2.0,7.0,2.0,0.4259259,0.0,1,1298.0,67.0,26.0,2.0,5.0,1.0,6.0,5.0,3.0,0.0,0.4179104,6.0,0,0,0.3852080123266564,1,1,1,51,-0.6470588235294117,0,0,unprofitable,0.05
atax,4,5,1,2100.0,33.0,15.0,2.0,0.0,0.0,1.0,0.0,3.0,1.0,0.5151515,0.0,1,2100.0,33.0,15.0,2.0,0.0,0.0,1.0,0.0,3.0,1.0,0.5151515,0.0,1,1,1.0,1,1,1,34,7.0,1,1,profitable,0.9866666666666667
2mm,4,8,1,900.0,38.0,13.0,4.0,0.0,0.0,5.0,1.0,7.0,0.0,0.4473684,0.0,1,900.0,68.0,26.0,7.0,0.0,0.0,3.0,1.0,11.0,1.0,0.4852941,0.0,0,1,1.0,1,1,1,50,3.0,1,1,profitable,0.97
jacobi-2d,0,8,1,500.0,54.0,18.0,5.0,0.0,0.0,4.0,2.0,7.0,2.0,0.4259259,0.0,1,1300.0,30.0,12.0,1.0,0.0,0.0,4.0,0.0,5.0,2.0,0.4333333,0.0,0,0,0.3846153846153846,1,1,1,36,-1.0,0,0,unprofitable,0.023333333333333334
3mm,15,18,1,800.0,54.0,21.0,5.0,0.0,0.0,2.0,0.0,7.0,1.0,0.4814815,0.0,1,1100.0,30.0,12.0,1.0,0.0,0.0,4.0,0.0,5.0,2.0,0.4333333,0.0,0,0,0.7272727272727273,1,1,1,39,-1.0,0,0,unprofitable,0.03333333333333333
3mm,6,12,1,800.0,39.0,13.0,4.0,0.0,0.0,6.0,1.0,7.0,0.0,0.4358974,0.0,1,1200.0,54.0,21.0,5.0,0.0,0.0,2.0,0.0,7.0,1.0,0.4814815,0.0,0,0,0.6666666666666666,1,1,1,43,-1.0,0,0,unprofitable,0.0
3mm,4,17,1,1100.0,40.0,13.0,4.0,0.0,0.0,7.0,1.0,7.0,0.0,0.425,0.0,1,800.0,41.0,15.0,3.0,0.0,0.0,5.0,0.0,9.0,2.0,0.4390244,0.0,0,0,1.375,1,1,1,35,-1.0,0,0,unprofitable,0.013333333333333334
gemm,5,9,1,1100.0,27.0,10.0,2.0,0.0,0.0,4.0,1.0,3.0,0.0,0.4444444,0.0,1,1100.0,37.0,16.0,2.0,0.0,0.0,1.0,1.0,3.0,1.0,0.4864865,0.0,0,1,1.0,1,1,1,30,4.0,1,1,profitable,0.96
3mm,10,17,1,1100.0,35.0,15.0,2.0,0.0,0.0,1.0,0.0,3.0,1.0,0.4857143,0.0,1,800.0,41.0,15.0,3.0,0.0,0.0,5.0,0.0,9.0,2.0,0.4390244,0.0,0,0,1.375,1,1,1,35,-1.0,0,0,unprofitable,0.01
jacobi-2d,0,5,1,500.0,54.0,18.0,5.0,0.0,0.0,4.0,2.0,7.0,2.0,0.4259259,0.0,1,1300.0,79.0,29.0,4.0,0.0,0.0,8.0,5.0,7.0,0.0,0.4177215,0.0,0,0,0.3846153846153846,1,1,1,56,-1.0,0,0,unprofitable,0.01
3mm,4,5,1,1100.0,40.0,13.0,4.0,0.0,0.0,7.0,1.0,7.0,0.0,0.425,0.0,1,1200.0,29.0,10.0,2.0,1.0,1.0,6.0,1.0,3.0,0.0,0.4137931,2.0,1,0,0.9166666666666666,1,1,1,29,5.206896551724139,1,1,profitable,0.9333333333333333
jacobi-2d,3,6,1,1298.0,79.0,29.0,4.0,0.0,0.0,8.0,5.0,7.0,0.0,0.4177215,0.0,1,1300.0,67.0,26.0,2.0,0.0,0.0,6.0,5.0,3.0,0.0,0.4179104,0.0,0,0,0.9984615384615384,1,1,1,61,1.0,0,0,unprofitable,0.06666666666666667
atax,3,4,1,1900.0,84.0,35.0,8.0,0.0,0.0,3.0,0.0,11.0,2.0,0.5119048,0.0,1,2100.0,33.0,15.0,2.0,0.0,0.0,1.0,0.0,3.0,1.0,0.5151515,0.0,1,0,0.9047619047619048,1,1,1,60,5.0,1,1,profitable,0.87
2mm,0,7,1,800.0,38.0,13.0,4.0,0.0,0.0,5.0,1.0,7.0,0.0,0.4473684,0.0,1,1200.0,27.0,10.0,2.0,0.0,0.0,4.0,1.0,3.0,0.0,0.4444444,0.0,0,0,0.6666666666666666,1,1,1,29,-1.0,0,0,unprofitable,0.13666666666666666
gemm,0,1,1,1000.0,38.0,13.0,4.0,0.0,0.0,5.0,1.0,7.0,0.0,0.4473684,0.0,1,1100.0,27.0,10.0,2.0,1.0,1.0,4.0,1.0,3.0,0.0,0.4444444,2.0,1,0,0.9090909090909092,1,1,1,29,5.206896551724139,1,1,profitable,0.9566666666666667
2mm,6,7,1,800.0,38.0,13.0,4.0,0.0,0.0,5.0,1.0,7.0,0.0,0.4473684,0.0,1,1200.0,27.0,10.0,2.0,0.0,0.0,4.0,1.0,3.0,0.0,0.4444444,0.0,1,0,0.6666666666666666,1,1,1,29,3.0,1,1,profitable,0.95
2mm,1,15,1,1200.0,27.0,10.0,2.0,0.0,0.0,4.0,1.0,3.0,0.0,0.4444444,0.0,1,1200.0,30.0,12.0,1.0,0.0,0.0,4.0,0.0,5.0,2.0,0.4333333,0.0,0,1,1.0,1,1,1,25,4.0,1,1,profitable,0.9966666666666667
jacobi-2d,3,7,1,1298.0,79.0,29.0,4.0,0.0,0.0,8.0,5.0,7.0,0.0,0.4177215,0.0,1,1300.0,41.0,15.0,3.0,0.0,0.0,5.0,0.0,9.0,2.0,0.4390244,0.0,0,0,0.9984615384615384,1,1,1,51,1.0,0,0,unprofitable,0.04
gemm,8,9,1,1000.0,48.0,19.0,4.0,0.0,0.0,2.0,1.0,7.0,1.0,0.4791667,0.0,1,1100.0,37.0,16.0,2.0,0.0,0.0,1.0,1.0,3.0,1.0,0.4864865,0.0,1,0,0.9090909090909092,1,1,1,41,5.0,1,1,profitable,0.9166666666666666
atax,1,5,1,2100.0,27.0,10.0,2.0,2.0,1.0,4.0,1.0,3.0,0.0,0.4444444,3.0,1,2100.0,33.0,15.0,2.0,0.0,0.0,1.0,0.0,3.0,1.0,0.5151515,0.0,0,1,1.0,1,1,1,29,4.310344827586207,1,1,profitable,0.9933333333333333
gemm,2,3,1,1200.0,38.0,13.0,4.0,0.0,0.0,5.0,1.0,7.0,0.0,0.4473684,0.0,1,1100.0,27.0,10.0,2.0,3.0,1.0,4.0,1.0,3.0,0.0,0.4444444,4.0,1,0,1.0909090909090908,1,1,1,29,5.413793103448276,1,1,profitable,0.9833333333333333
3mm,6,7,1,800.0,39.0,13.0,4.0,0.0,0.0,6.0,1.0,7.0,0.0,0.4358974,0.0,1,900.0,28.0,10.0,2.0,0.0,0.0,5.0,1.0,3.0,0.0,0.4285714,0.0,1,0,0.8888888888888888,1,1,1,29,5.0,1,1,profitable,0.93
